Parameter Settings																										
LaCyTools Version	2.0.1																									
LaCyTools Build	20201216																									
Calibration Parameters																										
CALIB_MASS_WINDOW	0.1																									
CALIB_S_N_CUTOFF	6																									
CALIB_MIN_PEAK	4																									
Extraction Parameters																										
SUM_SPECTRUM_RESOLUTION	100																									
MASS_WINDOW	0.04																									
TIME_WINDOW	8																									
MIN_CHARGE	2																									
MAX_CHARGE	3																									
MIN_TOTAL	0.95																									
BACKGROUND_WINDOW	10																									
																										
Absolute Intensity (Background Subtracted, 2+)	IgGI1H3N4	IgGI1H4N4	IgGI1H5N4	IgGI1H3N5	IgGI1H4N5	IgGI1H5N5	IgGI1H3N4F1	IgGI1H4N4F1	IgGI1H5N4F1	IgGI1H3N5F1	IgGI1H4N5F1	IgGI1H5N5F1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4S2	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H4N4F1S1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H4N5F1S1	IgGI1H5N5F1S1	IgGI1H4N5F2	IgGI1H5N5F2	IgGI1H4N4F2S1	IgGI1H5N4F2S1
38160_38161_IM5_Pl1_Spike_B08_01 20210409_000250.raw	290.0399399	873.0594154	210.5428597	424.52924	290.2974548	113.9515633	2157.454032	3003.826092	1810.562717	1538.722668	339.4897966	362.4896471	915.7883896	201.2912005	446.424355	337.5974671	509.3723978	467.6635235	1080.76498	241.8552141	794.6587584	246.3132867	151.2176519	609.9335642	101.0642554	129.0544774
38160_38161_IM5_Pl1_Spike_B09_01 20210409_000251.raw	10138.1739	23577.46672	7161.145893	473.4987996	447.4928871	309.126297	21003.3622	40378.84174	15117.05984	2862.137577	1669.079055	686.4692973	1829.038134	2947.218419	348.5370383	316.9834981	598.4631831	1995.361862	6052.458786	497.4928683	1139.83605	127.4851339	264.1742499	675.1339541	106.5591853	145.5053455
38160_38161_IM5_Pl1_Spike_B10_01 20210409_000252.raw	266.8721356	1928.340382	1258.492595	380.3527558	661.1525927	260.4001376	50638.10233	79057.74222	54046.37186	7605.898664	6224.226105	1660.156072	1480.169696	317.2008825	353.9641578	253.8212126	469.2719972	2066.985455	10900.94447	371.8379136	1523.221231	333.6160103	175.8808617	526.4886169	206.2213011	81.87698346
38160_38161_IM5_Pl1_Spike_B11_01 20210409_000253.raw	1878.753609	5321.895946	1687.996952	585.4847089	687.4666843	347.1383466	7032.735517	16565.63143	11007.19115	5578.246227	933.0360202	619.8387998	1057.223093	1086.91857	590.1687706	385.4631136	1013.277052	1231.78999	4031.999018	564.3710159	1829.642733	792.2213006	352.2828826	977.7445843	126.0219403	441.9257265
38160_38161_IM5_Pl1_Spike_B12_01 20210409_000254.raw	9476.43935	14015.51373	5426.223505	388.9583371	760.2948152	256.7955923	37484.34181	55804.63428	26243.62854	6672.742944	3306.387329	1033.007501	1163.269867	1680.125655	351.6273307	367.2981466	775.8931755	2366.025777	8203.394039	287.9760082	1579.671642	290.7562203	120.6394579	845.3517482	217.9401855	186.9967399
38160_38161_IM5_Pl1_Spike_C01_01 20210409_000256.raw																										
38160_38161_IM5_Pl1_Spike_C02_01 20210409_000257.raw	4302.359915	2429.985888	84.69703274	480.01958	504.6423255	483.0422528	10412.94871	12869.5579	5989.566884	4564.539039	677.3314442	260.0704124	857.0051986	1303.387305	311.5676488	306.8084446	580.529626	725.1612695	1866.032385	211.7876453	1540.844347	406.6199917	362.794307	604.2366275	302.9284683	244.0903113
38160_38161_IM5_Pl1_Spike_C03_01 20210409_000258.raw																										
38160_38161_IM5_Pl1_Spike_C04_01 20210409_000259.raw	1057.467085	2325.280803	982.1942983	490.849059	436.8268487	383.7086775	22473.07167	44731.68726	31530.79234	3872.263589	3960.290799	853.8511145	808.4479175	1241.447666	543.8005562	357.5055877	662.5929178	1450.193395	7048.484755	252.1368893	1530.959965	617.7744509	340.5699862	719.5153129	236.6331348	295.1436276
38160_38161_IM5_Pl1_Spike_C05_01 20210409_000260.raw	259.2574642	754.4761581	137.6157526	647.9621985	481.0859188	228.1900145	14988.72392	17443.37687	6256.969827	4087.124729	481.0002708	356.1392023	983.8195376	668.5011785	301.2231845	384.5826341	905.6406918	1178.826693	1862.825385	406.2636512	1291.932575	302.275318	292.3266891	940.1827922	262.5473051	73.29986654
