Parameter Settings																																
LaCyTools Version	2.0.1																															
LaCyTools Build	20201216																															
Calibration Parameters																																
CALIB_MASS_WINDOW	0.2																															
CALIB_S_N_CUTOFF	27																															
CALIB_MIN_PEAK	4																															
Extraction Parameters																																
SUM_SPECTRUM_RESOLUTION	100																															
MASS_WINDOW	0.1																															
TIME_WINDOW	10																															
MIN_CHARGE	2																															
MAX_CHARGE	3																															
MIN_TOTAL	0.9																															
BACKGROUND_WINDOW	10																															
																																
Absolute Intensity (Background Subtracted, 2+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
2022GLY00123IM5_Plate1_B08_01 20220624_000033.raw	45471.89399	18020.33136	14251.09049	3010.054564	2711.434419	1885.530335	153452.9862	17521.77424	34238.29237	6462.829123	1110460.202	180052.4686	265358.664	82576.25914	11385.22506	2743.088955	24474.9135	15501.43198	4252.928082	2032.636008	1111.062438	804.8627586	944.6181976	1031.006872	2196.306203	1426.9307	813.1646111	1157.11363	655.9184553	384.7183771	728.1829939	184.7427968
2022GLY00123IM5_Plate1_B09_01 20220624_000034.raw	291874.6711	54730.65124	6469.793071	54933.44821	1664.6416	26862.24969	31048.61735	405553.6607	14715.3323	163644.0402	33658.01111	4152862.618	30514.38969	2937332.792	4724.084093	126435.7348	19150.71427	841969.3203	1616.100901	90000.77886	967.7273682	16234.7991	12197.74537	4672.494956	47448.68646	38505.43059	23562.96819	2867.020069	1697.143279	559.2533896	2354.453473	977.1065529
2022GLY00123IM5_Plate1_B10_01 20220624_000035.raw	99613.96132	62018.42171	30203.45571	3648.460562	7434.83679	2041.407713	307805.0571	19734.96857	77720.24948	9169.934569	2192452.035	200061.5102	567941.5189	97770.4194	25322.00139	3149.916131	52590.06201	18160.29658	7750.202076	2488.285102	1506.422405	750.1650943	897.3342934	1155.934346	3170.548368	2110.859707	914.6154924	1088.220943	647.2195499	495.2855976	710.4008284	490.5628313
2022GLY00123IM5_Plate1_B11_01 20220624_000036.raw	334131.2966	36876.49752	21949.70561	81940.29383	5672.289565	25747.88299	46609.55463	655664.8872	24180.27884	190220.4954	29578.98551	4807241.699	35800.77804	1688614.188	3740.330489	50137.25981	11157.27166	210690.1745	396.9923396	23478.38521	1153.822962	7820.570806	6319.933322	2488.814295	26994.73844	9583.542166	5608.13119	1650.368301	903.8137912	489.7445867	1000.352395	376.6798466
2022GLY00123IM5_Plate1_B12_01 20220624_000037.raw	271815.4244	159244.9264	78598.25205	8781.623702	18238.61503	3264.315183	604642.6478	43275.61472	162122.6195	18749.17043	3640183.679	398606.2246	865076.8415	188018.8438	30756.59136	4293.610075	76151.72357	30076.40795	11144.97657	3397.708885	1726.444519	680.964795	764.385313	890.2797695	4501.934313	2616.580295	1221.020387	1080.98139	650.4878565	368.9713536	591.9952662	238.0753413
2022GLY00123IM5_Plate1_C01_01 20220624_000039.raw																																
2022GLY00123IM5_Plate1_C02_01 20220624_000040.raw	800.0819091	2321.398982	4659.610276	644.0480377	1214.895096	4224.220741	448.5629321	511.32822	3647.758994	1081.18721	12079.38243	4639.88003	1970.380842	5118.175949	3397.886851	1747.922547	2894.500205	2850.03308	2210.207399	3138.110455	1022.371922	2198.19015	1697.486413	1732.732878	1319.146877	812.7516876	1381.705966	2133.032595	1441.442296	1276.044649	1343.318804	1426.256606
2022GLY00123IM5_Plate1_C03_01 20220624_000041.raw	1420.171043	2553.391522	4866.739425	994.236655	1577.76228	3709.032943	386.7583735	490.5177498	4001.767298	1395.762052	8457.764482	4681.27277	2322.730097	5973.111416	3610.354707	2035.287402	2623.631989	3303.853641	2261.541316	1941.835516	1190.671793	1081.899918	1062.993691	1823.803696	1257.065538	1331.332169	987.0873975	1812.094156	1188.659865	928.5716386	850.1376117	870.1315742
																																
Absolute Intensity (Background Subtracted, 3+)	IgGI1H5N2	IgGI1H6N2	IgGI1H5N3	IgGI1H5N3F1	IgGI1H6N3	IgGI1H6N3F1	IgGI1H3N3	IgGI1H3N3F1	IgGI1H4N3	IgGI1H4N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H4N4	IgGI1H4N4F1	IgGI1H3N5	IgGI1H3N5F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H4N5	IgGI1H4N5F1	IgGI1H5N5	IgGI1H5N5F1	IgGI1H4N4F1S1	IgGI1H4N5F1S1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4F1S1	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H5N5F1S1	IgGI1H5N4S2	IgGI1H5N4F1S2
