F;PH_215;PD_78;PH_200;PH_125;PC_40;AMSZ_0920619j;PH_190;PH_201;PC_11;CN_32;Visucon;PC_37
G;PC_17;Visucon;DL_0707483e;JA_0710508e;duplicate;PH_109;PD_03;CN_75;pool;PH_77;PH_43;duplicate
H;PH_145;PH_222;PC_34;duplicate;CN_12;PH_83;MCS_1601531c;PH_49;PD_55;PH_254;PH_159;CN_22
;;;;;;;;;;;;
Plate #7;1;2;3;4;5;6;7;8;9;10;11;12
A;PH_225;PH_231;PH_168;PC_55;PH_256;MDGS_0817770h;CN_92;PD_24;PH_202;duplicate;PH_166;PC_64
B;PC_61;duplicate;PH_70;CN_37;duplicate;PD_29;DRPS_1599950e;PH_270;pool;PH_180;PH_73;PBS
C;PH_230;PH_139;CN_58;PH_184;PD_22;PC_79;PC_52;PH_124;PH_195;PH_248;duplicate;PH_155
D;pool;PD_07;duplicate;Visucon;PH_238/228;PH_106;PH_101;PC_19;PH_42;PC_06;PD_34;PH_280
E;PD_70;PH_234;pool;PH_118;PH_52;duplicate;CN_06;PH_117;CN_13;CN_39;ABOJ_1595897j;PC_12
F;PH_257;CN_47;PH_15;PD_68;PC_14;PH_119;IVIGg;CN_91;PC_03;PH_12;PH_120;duplicate
G;CN_11;MDGS_0817770h;PC_13;PBS;CN_57;pool;PH_16;duplicate;DLB_1594581c;PD_30;CN_01;CN_77
H;CCM_1199655g;PH_126;PD_52;PH_211;Visucon;CN_51;PH_79;DRFF_1593000i;duplicate;PH_65;PC_31;PH_277
