Parameter Settings																										
LaCyTools Version	1.1.0-alpha																									
LaCyTools Build	190207b																									
Extraction Parameters																										
SUM_SPECTRUM_RESOLUTION	100																									
MASS_WINDOW	0.04																									
TIME_WINDOW	8																									
MIN_CHARGE	2																									
MAX_CHARGE	3																									
MIN_TOTAL	0.95																									
BACKGROUND_WINDOW	10																									
																										
Absolute Intensity (Background Subtracted, 2+)	IgGI1H3N4	IgGI1H4N4	IgGI1H5N4	IgGI1H3N5	IgGI1H4N5	IgGI1H5N5	IgGI1H3N4F1	IgGI1H4N4F1	IgGI1H5N4F1	IgGI1H3N5F1	IgGI1H4N5F1	IgGI1H5N5F1	IgGI1H4N4S1	IgGI1H5N4S1	IgGI1H5N4S2	IgGI1H4N5S1	IgGI1H5N5S1	IgGI1H4N4F1S1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H4N5F1S1	IgGI1H5N5F1S1	IgGI1H4N5F2	IgGI1H5N5F2	IgGI1H4N4F2S1	IgGI1H5N4F2S1
alignedLin_38122IM5_plA_SpikeSpecific_B08_01 20201124_000025.raw	384.2	1367.144	270.748	189.996	231.616	188.76	56321.76	38351.024	20118.392	6723.104	3877.612	895.956	364.992	259.2	117.76	250.636	185.984	1228.144	4089.836	120.44	470.4	171.5	102.028	148.076	138.74	85.52
alignedLin_38122IM5_plA_SpikeSpecific_B11_01 20201124_000028.raw	1827.304	4657.328	2448.62	297.708	323.308	580.988	50335	86432.236	72430.996	6481.068	9186.664	2367.868	616.184	593.424	133.6	212.496	285.416	1716.172	15876.596	253.292	793.152	231.344	118.136	202.032	285.872	51.828
alignedLin_38122IM5_plA_SpikeSpecific_C02_01 20201124_000032.raw	263.54	1371.192	319.888	198.964	237.78	246.5	63611.152	49339.84	29194.688	6855.032	4225.52	1100.8	565.984	312.16	170.42	246.932	228.212	1798.608	7478.416	91.316	506.94	77.46	101.104	337.488	109.46	87.476
alignedLin_38122IM5_plA_SpikeSpecific_C03_01 20201124_000033.raw	237.42	1296.872	239.08	118.936	281.876	180.02	55343.788	31802.7	22104.08	5860.548	2928.084	911.828	535.748	176.86	193.136	297.104	194.768	1295.32	6511.648	255.58	624.644	173.476	87.072	166.516	180.26	146.82
alignedLin_38122IM5_plA_SpikeSpecific_C04_01 20201124_000034.raw	313.608	2113.148	402.008	262.88	268.98	214.468	124302.672	78127.412	50434.564	12328.864	7077.476	1649.896	547.856	340.696	107.78	160.024	234.852	2574.228	12766.404	246.436	509.72	373.06	99.82	144.264	273.552	128.896
alignedLin_38122IM5_plA_SpikeSpecific_C05_01 20201124_000035.raw	193.248	1047.156	84.92	135.524	243.864	392.096	4959.928	1950.732	1299.296	912.012	496.16	186.316	430.064	114.1	117.888	238.292	259.108	539.828	559.864	133.82	343.7	158.128	151.66	177.752	107.6	99.748
alignedLin_38122IM5_plA_SpikeSpecific_C06_01 20201124_000036.raw	224.312	1410.152	132.976	172.308	166.6	268.716	11076.968	10548.044	9078.596	2443.84	1280.456	506.056	399.764	335.856	80.564	148.616	196.22	729.604	2131.644	195.956	448.232	220	26.884	166.368	93.56	93.756
alignedLin_38122IM5_plA_SpikeSpecific_C07_01 20201124_000037.raw	905.996	2893.776	1633.64	125.68	181.564	277.06	8039.08	17376.896	17413.048	1544.72	1813.672	672.548	186.536	288.16	114.74	94.312	78.396	340.28	3688.796	153.136	266.288	114.196	55.924	68.792	74.38	80.72
alignedLin_38122IM5_plA_SpikeSpecific_C12_01 20201124_000042.raw	240.852	740.88	120	89.936	138.848	245.82	3125.14	591.144	707.528	744.18	206.636	232.02	438.336	181.46	89.728	130.34	193.72	326.756	415.536	125.64	288.672	91.728	143.22	222.428	73.256	60.9
alignedLin_38122IM5_plA_SpikeSpecific_D01_01 20201124_000044.raw	245.9	1708.868	241.86	237.744	223.444	267	122952.792	45024.02	15611.544	12129.444	4337.212	885.604	685.424	176.3	111.924	282.092	222.12	2223.18	3864.816	175.916	546.528	162.264	143.132	201.204	231.18	74.16
alignedLin_38122IM5_plA_SpikeSpecific_D02_01 20201124_000045.raw	227.92	1311.08	157.208	79.204	60.152	111.84	4776.996	4743.76	4539.98	658.252	351.204	303.508	170.428	99.332	136.196	161.56	142.86	222.368	1321.544	33.44	236.444	85.104	106.884	132.9	82.656	86.88
alignedLin_38122IM5_plA_SpikeSpecific_D04_01 20201124_000047.raw	253.64	1834.124	820.704	90.46	358.7	413.516	26970.468	29754.428	29031.24	4504.212	3904.132	1468.38	778.672	236.68	198.08	160.96	306.908	1122.24	8842.452	239.408	443.072	133.3	136.22	294.356	142.96	79.36
alignedLin_38122IM5_plA_SpikeSpecific_D05_01 20201124_000048.raw	488.6	2075.796	743.94	103.448	309.56	416.656	30032.424	30032.74	29550.276	4303.328	4456.84	1728.432	683.7	384.672	151.116	364.556	207.44	1002.856	8448.104	227.384	561.704	167.196	200.684	282.932	136.68	75.412
alignedLin_38122IM5_plA_SpikeSpecific_D06_01 20201124_000049.raw	188.72	555.596	73.26	104.36	119.2	161.292	6531.196	5140.176	3938.46	1017.396	398.672	395.32	395.364	103.46	104.492	170.152	96.54	631.36	1042.764	70.488	291.764	147.472	94.076	107.232	126.648	70.58
alignedLin_38122IM5_plA_SpikeSpecific_D07_01 20201124_000050.raw	1762.428	5146.192	2340.756	350.62	417.04	149.852	70505.188	75789.992	51826.04	5622.6	6219.544	1690.164	507.184	614.696	113.076	220.228	188.52	2366.132	13134.492	202.688	742.372	145.072	113.308	216.104	256.256	58.524
alignedLin_38122IM5_plA_SpikeSpecific_D09_01 20201124_000052.raw	375.464	1371.5	231.996	136.56	191.42	154.48	90065.776	31927.04	13250.16	7282.592	2483.616	586.072	327.368	169.928	111.636	214.792	187.744	1194.2	3151.328	221.876	255.916	124.932	142.8	142.084	229.644	62.42
alignedLin_38122IM5_plA_SpikeSpecific_D10_01 20201124_000053.raw	577.34	2502.012	1376.74	100.752	238.508	252.492	11877.936	27376.516	27346.276	1804.632	2491.58	898.764	268.572	366.592	95.536	138.092	190.612	652.76	5747.184	146.152	469.348	77.108	35.128	138.428	164.74	59.496
alignedLin_38122IM5_plA_SpikeSpecific_D11_01 20201124_000054.raw	224.52	862.184	111.108	154.9	231.1	215.432	21907.268	14876.472	9835.396	2270.464	1201.516	345.448	361.672	170.784	109.52	225.156	186.78	695.392	2857.656	218.652	397.8	71.872	110.864	156.6	113.16	32.184
alignedLin_38122IM5_plA_SpikeSpecific_D12_01 20201124_000055.raw	201.024	694.116	43.248	104.268	221.008	195.32	4047.924	1534.812	1121.884	949.368	337.684	223.836	208.58	155.944	101.48	206.616	188.396	414.764	509.376	114.608	325.768	167.86	169.8	155.636	79.88	30.236
alignedLin_38122IM5_plA_SpikeSpecific_E01_01 20201124_000060.raw	315.06	1813.492	175.74	241.288	168.528	363.796	18693.768	25209.384	22182.352	2605.56	2170.208	925.64	559.864	283.06	134.3	352.9	269.06	823.672	5101.844	202.144	669.056	169.588	188.904	242.068	127.84	58.18
alignedLin_38122IM5_plA_SpikeSpecific_E06_01 20201124_000065.raw	1313.28	1824.66	554.232	324.156	81.32	306.992	7164.432	1039.06	1021.34	1533.128	294.64	424	467.052	242.832	163.488	257.78	168.604	199.4	617.86	148.28	443.68	165.076	175.192	225.244	180.3	93.96
alignedLin_38122IM5_plA_SpikeSpecific_E07_01 20201124_000066.raw	250.632	1057.704	140.82	210.552	90.58	361.244	16093.98	11277.072	7780.856	2072.984	1048.096	393.208	393.932	112.212	151.264	224.76	139.24	805.836	2407.768	148.06	404.76	95.996	106.772	204.512	172.84	140.04
alignedLin_38122IM5_plA_SpikeSpecific_E09_01 20201124_000068.raw	111.492	992.956	82.5	173.284	174.26	353.828	323.784	464.88	1032.152	927.016	374.3	295.688	375.808	269.372	170.28	315.508	965.232	929.74	1231.576	122.848	576.912	266.12	229.82	809.84	464.836	166.168
alignedLin_38122IM5_plA_SpikeSpecific_E10_01 20201124_000069.raw	320.12	1816.492	560.124	160.132	116.32	254.24	8283.244	9339.768	8947.78	1440.784	1013.984	515.98	394.94	245.952	127.056	193.34	285.144	503.924	2959.72	120.068	421.9	142.032	132.276	256.072	132.212	86.944
alignedLin_38122IM5_plA_SpikeSpecific_E12_01 20201124_000071.raw	251.492	878.376	120.624	186.6	167.568	302.224	10367.784	10923.4	8438.596	1394.072	951.604	435.408	489.332	148.472	142.42	184.696	108.424	543.452	1638.656	131.484	342.44	123.12	101.872	75.34	51.124	63.06
alignedLin_38122IM5_plA_SpikeSpecific_F01_01 20201124_000073.raw	1356.208	2476.188	878.168	233.4	352.66	322.24	64902.056	39533.172	21000.228	8020.08	3841.644	959.884	552.544	205.4	187.56	205.8	282.724	1443.732	5786.02	251.604	617.208	183.692	142.78	286.88	171.1	88.972
alignedLin_38122IM5_plA_SpikeSpecific_F03_01 20201124_000075.raw	2642.32	5937.568	2295.904	188.864	418.712	530.78	48376.8	50826.772	36861.86	5966.768	5782.62	1672	865.076	542.84	169.988	353.556	453.444	1276.332	8042.628	228.104	831.272	124.488	188.408	398.488	187.752	109.66
alignedLin_38122IM5_plA_SpikeSpecific_F04_01 20201124_000076.raw	344.42	1265.696	359.232	284.112	194.96	281.62	9356.204	902.6	1547.876	1573.808	291.724	436.02	306.924	343.552	164.46	396.056	365.06	427.232	965.08	208.94	345.96	224.18	254.612	169.94	258.72	106.54
alignedLin_38122IM5_plA_SpikeSpecific_F05_01 20201124_000077.raw	199.264	774.424	178.604	180.372	181.1	187.66	8773.736	458.124	742.228	826.84	197.408	300.32	196.9	192.188	95	176.176	196.508	353.576	469.568	193.336	381.62	172.42	126.432	177.576	112.76	73.02
alignedLin_38122IM5_plA_SpikeSpecific_F06_01 20201124_000078.raw	593.396	1251.196	83.108	174.68	264.48	223.288	72802.728	26063.812	7471.376	7921.42	2789.872	593.46	391.64	192.88	117.468	162.22	173.152	1134.264	1826.212	197.86	392.024	169.02	137.412	149.088	147.532	74.552
alignedLin_38122IM5_plA_SpikeSpecific_F09_01 20201124_000081.raw	231.524	901.928	70.956	117.332	78.888	182.44	10802.856	5743.604	4372.052	1764.508	848.552	430.972	272.42	92.136	162.28	143.94	384.16	557.056	1517.44	128.9	469.292	116.576	64.644	260.936	114.052	24.12
alignedLin_38122IM5_plA_SpikeSpecific_F10_01 20201124_000082.raw	350.22	1966.496	277.368	149.832	144.56	145.16	129915.404	60710.34	25617.088	9734.276	4141.62	856.448	532.024	166.692	123.62	79.16	205.18	1473.508	4443.444	179.36	463.74	161.98	61.312	212.764	132.608	30.96
alignedLin_38122IM5_plA_SpikeSpecific_F11_01 20201124_000083.raw	1292.4	3017.484	1022.048	300.52	449.32	394.232	131411.824	113149.328	59190.292	13347.744	8665.5	1615.42	565.504	539.336	170.636	219.76	341.144	3280.724	16733.372	348.888	811.4	205.264	154.428	300.46	208.68	61.78
